Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo230110,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich on white bread or roll,g,7,8,7,5,9,7,4,5,5,5,3,2
eo230111,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich on brown bread or roll,g,2,3,5,4,2,2,2,3,3,2,2,1
eo230112,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,1,4,3
eo2302,Sandwiches,Other savoury or sweet sandwiches,,,g,36,34,34,33,33,38,41,38,36,31,35,37
eo230201,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich on white bread or roll,g,14,14,8,11,7,9,8,9,10,9,4,3
eo230202,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich on brown bread or roll,g,3,2,2,2,2,3,2,3,2,2,2,0
eo230203,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich bread not specified,g,0,0,0,0,0,0,0,0,1,1,6,5
eo230204,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich on white bread or roll including Egg McMuffin,g,9,6,5,4,5,5,4,3,3,2,1,1
eo230205,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich on brown bread or roll,g,1,1,1,1,1,2,1,1,2,1,1,0
eo230206,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,2
eo230207,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich on white bread or roll,g,4,3,5,4,3,4,2,2,1,2,1,0
eo230208,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich on brown bread or roll,g,1,0,1,1,0,1,1,1,1,0,0,0
eo230209,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,1
eo230210,Sandwiches,Other savoury or sweet sandwiches,,Sweet-filled sandwich,g,0,0,0,0,0,0,0,0,0,0,0,0
eo230211,Sandwiches,Other savoury or sweet sandwiches,,Unspecified sandwiches or rolls,g,3,8,13,11,14,15,22,19,16,14,18,24
eo240,Other food products, ,,,g,157,134,179,130,135,107,135,129,118,131,128,87
eo2401,Other food products,Sauces,,,g,7,8,6,8,9,9,6,6,11,7,7,5
eo240101,Other food products,Sauces,,"Cheese or cream based sauce e.g. carbonara, cauliflower cheese",g,1,1,1,1,1,1,1,1,1,1,2,1
eo240102,Other food products,Sauces,,"Meat-based sauce e.g. bolognese, chilli con carne",g,3,3,3,4,5,5,2,3,5,4,2,2
eo240103,Other food products,Sauces,,Fish or seafood based sauce,g,0,1,0,1,0,0,0,0,0,0,0,0
eo240104,Other food products,Sauces,,Tomato based sauce containing vegetables including ratatouille,g,0,0,0,1,1,1,1,1,2,1,1,0
eo240105,Other food products,Sauces,,Other savoury sauce or unspecified 'sauce',g,1,1,1,1,1,1,1,2,1,1,1,1
eo240106,Other food products,Sauces,,"Sweet sauce e.g. syrup, treacle, chocolate sauce",g,0,0,0,0,0,0,0,0,0,0,0,0
eo240107,Other food products,Sauces,,Fruit or vegetable based condiments,g,0,0,0,0,0,0,0,0,0,0,0,0
eo240108,Other food products,Sauces,,Other condiments or sauces,g,0,0,0,0,0,0,0,0,1,0,0,0
eo2402,Other food products,Dressings,,,g,2,2,2,2,1,2,1,2,2,1,1,1
eo240201,Other food products,Dressings,,Salad dressings and dips,g,0,0,0,0,0,0,0,0,0,0,0,0
eo240202,Other food products,Dressings,,Mayonnaise,g,1,1,1,1,1,1,1,1,1,1,1,0
eo240203,Other food products,Dressings,,Coleslaw,g,1,1,1,1,0,0,0,0,1,0,0,0
eo2403,Other food products,Fillings,,,g,2,2,2,2,2,2,2,2,3,1,1,1
eo240301,Other food products,Fillings,,Fruit filling e.g. peaches for pancakes,g,0,0,0,0,0,0,0,0,0,0,0,0
