Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo210,Yoghurt and fromage frais, ,,,g,3,1,2,4,4,4,3,1,1,0,1,0
eo220,Bread, ,,,g,7,8,9,7,7,6,7,8,9,8,5,5
eo220101,Bread,"White bread, with or without butter or margarine (toasted or untoasted)",,,g,4,4,5,4,4,4,3,2,3,4,1,0
eo220102,Bread,"Brown or wholemeal bread, with or without butter or margarine (toasted or untoasted)",,,g,0,1,1,0,0,0,1,0,0,1,1,0
eo220103,Bread,"White rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)",,,g,1,1,1,1,1,1,2,2,2,1,0,0
eo220104,Bread,"Brown or wholemeal rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)",,,g,0,0,0,0,0,0,1,0,0,0,0,0
eo220105,Bread,Garlic bread,,,g,0,1,1,1,0,0,1,1,1,0,0,1
eo220106,Bread,Croissant,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo220107,Bread,"Continental breads e.g. pitta, ciabatta, focaccio",,,g,0,0,0,0,0,0,0,0,1,0,0,0
eo220108,Bread,"Muffins, crumpets",,,g,0,0,0,0,0,0,0,0,2,0,0,0
eo220109,Bread,"Fried bread, including croutons",,,g,0,1,1,1,1,1,0,1,1,0,0,0
eo220110,Bread,"Other bread, rolls, toast, unspecified 'bread' etc.",,,g,0,0,0,0,0,0,0,0,0,0,2,3
eo230,Sandwiches, ,,,g,71,59,71,71,64,81,76,67,57,45,55,57
eo2301,Sandwiches,Meat or fish based sandwiches,,,g,46,37,49,46,44,54,45,40,30,27,35,34
eo230101,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich on white bread or roll,g,20,16,19,15,17,19,13,15,10,12,9,3
eo230102,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich on brown bread or roll,g,1,2,2,3,4,4,3,5,4,2,2,1
eo230103,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich bread not specified,g,0,0,1,0,0,0,1,0,1,1,6,8
eo230104,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich on white bread or roll,g,12,9,12,14,9,16,17,8,9,7,4,4
eo230105,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich on brown bread or roll,g,2,3,1,3,4,3,3,3,1,1,2,0
